issue_type,severity,element,element_index,ifc_type,ontology_class,brick_class,message,architectural_element,architectural_index,architectural_ifc_type,edge_index,predicate
terminal_not_located_in_space,medium,82,82,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,83,83,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,84,84,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,85,85,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,86,86,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,87,87,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,88,88,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,89,89,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,90,90,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,91,91,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,92,92,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,93,93,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,94,94,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,95,95,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,96,96,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,97,97,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,98,98,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,99,99,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,100,100,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,101,101,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,102,102,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,122,122,,brick:Luminaire,brick:Luminaire,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,123,123,,brick:Luminaire,brick:Luminaire,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,124,124,,brick:Luminaire,brick:Luminaire,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,125,125,,brick:Outlet,brick:Outlet,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,821,14179,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,822,14180,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,823,14181,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,824,14182,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,825,14183,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,826,14184,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
terminal_not_located_in_space,medium,827,14185,,brick:Terminal_Unit,brick:Terminal_Unit,Terminal/equipment has no derived architectural space location.,,,,,
